Elemento,Descripcion,Link,Banco
Puerto Trapense,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Puerto Trapenses es una experiencia gastronómica donde podrás hacer un recorrido por los platos más destacados de la gastronomía chilena. aquí, rescatamos la esencia del mar que nos acompaña de norte a sur, con la picardía y sensualidad del marisco, y el esfuerzo y tenacidad del pescador.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend  $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/lunes-gourmet/puerto-trapense-2/,Banco Itau
SteakHouse,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Lunes a sábado de 13:00 a 22:00 horas
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/steakhouse/,Banco Itau
SteakHouse,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Lunes a sábado de 13:00 a 22:00 horas
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/steakhouse-2/,Banco Itau
Fidelio,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Disfruta de los mejores desayunos en Reñaca, Viña del Mar en Fidelio Café. Deliciosos croissants, pancakes, huevos y opciones dulces te esperan.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/fidelio/,Banco Itau
Fidelio,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Disfruta de los mejores desayunos en Reñaca, Viña del Mar en Fidelio Café. Deliciosos croissants, pancakes, huevos y opciones dulces te esperan.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/fidelio-2/,Banco Itau
Don Teo Restaurant,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Don Teo Gastronomía Peruana
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/don-teo-restaurant/,Banco Itau
Don Teo Restaurant,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Don Teo Gastronomía Peruana
Restricciones
Promociones válidas para compras efectuadas entre el 01  de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/don-teo-restaurant-2/,Banco Itau
Battir,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Experiencia gastronómica única en Concepción. Ofrecemos una amplia variedad de preparaciones de alta gastronomía, elaborados con los mejores ingredientes locales y servidos en un ambiente acogedor y relajante. Además, contamos con una terraza al aire libre donde podrás disfrutar de nuestra vista al Parque.
Dirección: Veteranos del 79 #408, Concepción, Región del BioBío
Horario: Lunes a Viernes de 13:00 a 00:30 horas; Sábados de 09:45 a 00:30 horas
Restricciones
Promociones válidas para compras efectuadas entre el 01  de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/battir/,Banco Itau
Battir,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Experiencia gastronómica única en Concepción. Ofrecemos una amplia variedad de preparaciones de alta gastronomía, elaborados con los mejores ingredientes locales y servidos en un ambiente acogedor y relajante. Además, contamos con una terraza al aire libre donde podrás disfrutar de nuestra vista al Parque.
Dirección: Veteranos del 79 #408, Concepción, Región del BioBío
Horario: Lunes a Viernes de 13:00 a 00:30 horas; Sábados de 09:45 a 00:30 horas
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/battir-2/,Banco Itau
Bife Sureño,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
En el año 2000 nace la idea de poder disfrutar de una carne a la parrilla en un entorno de edificios y vida de oficina. Con esto, creamos nuestro restaurante bife sureño. Ubicado en el centro de la ciudad, este restaurante mantiene la calidad de sus productos desde el día uno, en donde la estrella es un buen bife chorizo sin antes disfrutar de su exquisito y famoso pisco sour. En esta carta también contamos con productos del mar y pastas caseras y vinos de alta gama.
Te esperamos para que puedas hacer de lo clásico, una experiencia inolvidable
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025 , por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/bife-sureno/,Banco Itau
Bife Sureño,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
En el año 2000 nace la idea de poder disfrutar de una carne a la parrilla en un entorno de edificios y vida de oficina. Con esto, creamos nuestro restaurante bife sureño. Ubicado en el centro de la ciudad, este restaurante mantiene la calidad de sus productos desde el día uno, en donde la estrella es un buen bife chorizo sin antes disfrutar de su exquisito y famoso pisco sour. En esta carta también contamos con productos del mar y pastas caseras y vinos de alta gama.
Te esperamos para que puedas hacer de lo clásico, una experiencia inolvidable
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/bife-sureno-b/,Banco Itau
Carnivo,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Nuestras hamburguesas son hechas a la parrilla con la carne molida de mayor calidad del mundo Certified Angus BeefR nos da su blend perfecto.
Restricciones
Promociones válidas para compras efectuadas entre el 07 de enero al 25 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/carnivo/,Banco Itau
Carnivo,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Nuestras hamburguesas son hechas a la parrilla con la carne molida de mayor calidad del mundo Certified Angus BeefR nos da su blend perfecto.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/carnivo-2/,Banco Itau
Cambalache,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
El equipo de Cambalache Restaurant está conformado por los más destacados profesionales de la cocina, liderados por experimentados y jóvenes Chef de nuestra zona, quien con dedicación y meticulosidad, elaboran cada uno de los platos de la carta, para que así la magia llegue a su mesa.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend  y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/cambalache-2/,Banco Itau
Cambalache,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
El equipo de Cambalache Restaurant está conformado por los más destacados profesionales de la cocina, liderados por experimentados y jóvenes Chef de nuestra zona, quien con dedicación y meticulosidad, elaboran cada uno de los platos de la carta, para que así la magia llegue a su mesa.
Restricciones
Promociones válidas para compras efectuadas entre el 07 de enero al 25 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/cambalache-bb/,Banco Itau
Restaurant Parrilla El Galpón,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Imperdible! La mejor carne del sur de Chile, excelentes acompañamientos y exquisitos postres que son característicos de la zona.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/restaurant-parrilla-el-galpon/,Banco Itau
Restaurant Parrilla El Galpón,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Imperdible! La mejor carne del sur de Chile, excelentes acompañamientos y exquisitos postres que son característicos de la zona.
Restricciones
Promociones válidas para compras efectuadas entre el 07 de enero al 25 de marzo 2025 , por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y  Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/restaurant-parrilla-el-galpon-b/,Banco Itau
Greta Restobar,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Greta restobar, comida deliciosa y tragos increíbles en la ciudad de Talca. Amplia variedad de gin y coctelería de autor. Platos fríos para compartir y cortes de carne.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/greta-restobar/,Banco Itau
Greta Restobar,"Beneficio
40% de descuento todos los martes de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Greta restobar, comida deliciosa y tragos increíbles en la ciudad de Talca. Amplia variedad de gin y coctelería de autor. Platos fríos para compartir y cortes de carne.
Restricciones
Promociones válidas para compras efectuadas entre el 07 de enero al 25 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/martes-gourmet/greta-restobar-3/,Banco Itau
Rosita,"Beneficio
40% de descuento todos los miércoles de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Todo comenzó con un viaje de nuestro chef Nicolás Rosen a tierras aztecas, en el cual queda fascinado por su gastronomía y su cultura, culminando en la creación de este lugar único en Santiago donde la música, el ambiente, la decoración traída especialmente de México y cada detalle se conjugan perfectamente para que tu estadía sea inolvidable. Los sabores de Rosita están compuestos por una diversidad de gastronomía mexicana y cocina Tex Mex (fusión Americana-Mexicana). Prepárate para disfrutar en pleno de esta propuesta que hemos preparado especialmente para ti.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/miercoles-gourmet/rosita/,Banco Itau
Rosita,"Beneficio
40% de descuento todos los miércoles de enero, febrero y marzo. Descuento válido para consumo en el local. Para acceder a este beneficio debes mencionar que pagas con tu tarjeta de crédito o billetera digital Legend, Black y Signature Itaú al momento de pedir tu cuenta
Descripción
Todo comenzó con un viaje de nuestro chef Nicolás Rosen a tierras aztecas, en el cual queda fascinado por su gastronomía y su cultura, culminando en la creación de este lugar único en Santiago donde la música, el ambiente, la decoración traída especialmente de México y cada detalle se conjugan perfectamente para que tu estadía sea inolvidable. Los sabores de Rosita están compuestos por una diversidad de gastronomía mexicana y cocina Tex Mex (fusión Americana-Mexicana). Prepárate para disfrutar en pleno de esta propuesta que hemos preparado especialmente para ti.
Restricciones
Promociones válidas para compras efectuadas entre el 01 de enero al 31 de marzo 2025, por personas naturales sin giro comercial que sean titulares de Tarjetas Legend, Black y Signature Itaú emitidas en Chile (excluye tarjetas de débito Condell ,tarjetas de crédito  Gold, Platinum, Mastercard Business, VISA Business y Rappi Card by Itau). No acumulables con otras promociones o descuentos. Excluye propinas.
Máximo descuento mensual con Tarjeta Legend y Tarjeta Black $50.000 por cliente titular.
La entrega de los bienes y prestación de servicios no bancarios son de exclusiva responsabilidad de los comercios que los otorgan, no cabiéndole a Banco Itaú Chile intervención alguna en su entrega o en la ulterior atención que ellos demanden. El pago con tarjetas de crédito puede tener costos asociados. Consulta al emisor para mayor información. Infórmese sobre la garantía estatal de los depósitos en su banco o en www .cmfchile .cl",https://itaubeneficios.cl/miercoles-gourmet/rosita-3/,Banco Itau
